genes	MYCNneg_Runx1t1Het	MYCNneg_Runx1t1Hom	MYCNpos_Runx1t1Het	MYCNpos_Runx1t1Hom	Tumour
Brinp2	159.5733333	126.885	152.02	49.12666667	9.1875
Sox4	138.87	111.0375	137.275	310.8833333	171.74
Nkain1	15.54333333	13.48	20.025	52.31333333	73.2275
Foxd1	3.12	2.685	5.77	1.183333333	0.005
Hist1h4b	105.9233333	189.095	214.215	838.5533333	1656.37
Srxn1	90.10333333	80.6675	95.225	43.43666667	10.7325
Cadps	222.6333333	181.0025	255.41	103.49	17.225
Hrk	3.59	2.2225	6.71	23.78	21.2475
Filip1	110.02	86.2375	120.115	52.62333333	32.0125
Cacng4	30.23666667	30.4925	38.065	96.44333333	99.8
Bzw2	73.21	68.6525	73.595	159.43	276.3625
Greb1	1.786666667	0.98	2.625	9.67	8.7325
Shmt1	2.816666667	5.06	5.025	23.67333333	87.0175
Ndrg4	1126.256667	935.8075	1259.51	513.9	22.9275
Lig1	22.00333333	24.495	28.19	75.65333333	177.4575
Draxin	2.77	2.075	2.575	12.10333333	4.6375
Calb2	9.16	21.4975	55.405	3.37	19.4525
Rnf144a	11.59666667	12.7	12.01	26.51666667	22.485
Adcy1	31.06	21.8175	33.47	82.38333333	105.0975
Slc24a2	13.86666667	13.55	21.975	5.166666667	1.5075
Stk32c	51.1	49.4325	73.48	23.87333333	1.3575
Alk	7.216666667	3.9275	7.815	37.60333333	46.5775
Parp4	42.85333333	39.8675	46.645	20.04666667	2.63
Parm1	71.82666667	70.7025	101.99	33.82333333	8.8675
Spc24	3.296666667	5.8375	8.84	39.15333333	93.19
Ccdc34	26.67	25.335	29.515	65.38	118.58
Tes	16.37666667	21.26	11.515	28.49	17.145
Larp7	20.73	22.04	18.885	42.97333333	92.58
Slc18a1	15.3	21.8475	41.245	11.09	1.3625
Ap1s2	217.1233333	194.865	260.87	95.01666667	18.4275
Rad51	2.133333333	3.7425	5.525	31	53.53
Pstpip1	28.7	29.3025	27.965	8.56	0.7425
Calr3	18.88	11.69	25.615	5.716666667	1.74
A730008H23Rik	2.683333333	2.8175	4.75	15.81	48.7425
Esyt3	27.47333333	23.91	32.91	9.736666667	1.4725
Mtnr1a	4.633333333	3.615	6.155	1.423333333	0.05
Mpp3	11.38333333	7.895	10.085	27.83333333	61.9825
Tprgl	256.3766667	264.9175	363.7	150.95	27.49
Myh4	15.01666667	7.08	0.755	9.136666667	2.6625
Fam60a	6.23	10.27	14.855	52.77	95.605
Plscr4	71.42666667	63.1525	82.245	31.54666667	1.395
Hist1h1e	434.7433333	508.175	527.48	1373.47	2558.8
Zfp599	1.073333333	1.2525	1.135	4.353333333	9.0425
Hist1h2bn	32.84666667	106.565	7.46	344.7766667	1330.7
Hnrnpa1	90.78	102.1375	150.02	347.9533333	414.985
Igsf9	1.623333333	2.885	5.255	23.05666667	32.045
Npas3	1.586666667	1.565	1.3	6.3	1.0875
Rerg	42.11333333	30.7825	38	11.27333333	0.84
Nr4a3	6.103333333	7.7575	11.505	2.43	2.5125
Zfp365	27.59333333	24.735	29.25	12.95333333	9.6875
1810041L15Rik	41.74666667	32.9425	46.775	13.67666667	0.87
Epb4.1	21.17333333	25.275	22.85	58.78333333	111.715
Pcna	41.64333333	57.5575	46.97	121.6966667	260.63
Lin9	2.413333333	3.6375	2.955	9.63	18.02
Layn	59.86666667	58.6125	83.24	28.71666667	0.8775
Kctd15	18.62	15.6125	20.32	46.55666667	65.0475
Samd9l	16.81333333	25.5475	21.56	7.046666667	1.48
9630028I04Rik	3.266666667	3.3375	4.8	1.036666667	0.16
Ctbp2	17.95333333	16.8025	16.14	33.18333333	42.3175
Gda	302.4633333	213.8475	266.315	98.57333333	4.81
Creb5	9.75	8.79	21.2	71.36	50.125
Bmp4	38.37333333	38.69	50.18	9.93	1.125
Pmf1	14.99	17.8525	16.725	47.13333333	106.445
Maoa	698.3233333	624.5675	840.865	364.87	32.2725
Cdk1	1.07	3.2325	4.88	24.99333333	62.1375
Prc1	6.413333333	10.0625	15.035	56.98333333	122.165
Nasp	23.74	31.3225	55.91	168.6866667	372.1175
Kntc1	1.07	1.48	4.25	18.84333333	37.3725
Klhl30	1.786666667	1.8825	4.09	1.006666667	0.085
Hist3h2a	137.7966667	144.9475	292.135	853.6933333	1366.61
Hist2h2bb	220.1133333	367.875	380.67	1327.433333	3007.7075
Slc35d3	45.03	31.845	45.065	13.74333333	3.8675
Siva1	38.50666667	46.3825	36.705	79.00666667	141.805
Endod1	70.00333333	62.79	75.275	33.22666667	5.665
Rfc4	4.58	7.675	9.705	35.89333333	81.315
Hmgn1	113.1666667	144.4775	171.535	420.2433333	860.095
Tcf19	5.33	8.5375	6.625	27.2	26.34
Htr3b	76.84666667	69.6875	84.41	30.32	0.0225
Rimklb	2.623333333	2.2425	4.74	18.1	15.9425
Zbtb12	6.006666667	7.37	10.99	30.71666667	53.095
Hist1h4j	30.6	37.6925	17.72	197.2633333	679.695
Tnni2	21.86666667	11.2525	2.27	24.88	1.09
Pak7	3.703333333	3.1125	4.545	11.52	14.765
Tox3	1.44	0.5325	4.065	17.72333333	50.64
Dsp	36.70333333	14.3575	30.625	3.8	3.0675
Nup205	10.67	13.155	14.845	36.69666667	61.44
Myh3	0.606666667	0.3075	0.625	2.986666667	17.77
Cep128	7.783333333	8.2725	8.26	19.89333333	30.5825
Cenpw	2.153333333	2.7025	2.835	10.29	18.4575
Blm	6.246666667	5.1175	6.445	15.23333333	31.2125
Ezh2	11.87333333	18.9925	20.46	58.38666667	121.545
Ska3	1.07	1.2575	1.625	8.9	22.9225
Man1c1	40.89666667	39.315	46.09	19.83666667	6.9125
Plk1	2.19	4.52	5.39	32.77333333	125.9425
Snrpg	34.5	36.3575	35.075	94.55333333	177.74
Cidec	20.05333333	22.04	3.05	33.31666667	9.18
Spry4	53.86666667	49.64	51.37	22.06333333	1.48
Lgals3bp	77.53333333	92.1375	103.99	35.00333333	24.975
Sh3rf1	5.41	6.12	6.245	14.54666667	21.8425
Runx1t1	5.006666667	3.67	12.845	38.56	41.7575
Lingo2	19.12666667	17.935	20.92	7.78	0.005
Hist1h2br	2.3	6.3075	5.44	22.11666667	36.7075
Hist1h2bq	2.3	6.3075	5.44	22.11666667	36.7075
Phc1	20.1	20.3825	24.625	47.86333333	76.59
Pam	312.4066667	294.665	399.18	170.4466667	49.92
Pcsk1	62.63333333	56.3175	70.59	27.64	0.015
Ptprn	361.69	296.76	405.7	177.0466667	28.0375
Knstrn	2.203333333	3.95	5.955	29.11666667	77.7425
Prmt8	2.733333333	3.41	4.635	0.703333333	0.6975
Cpne8	114.6433333	99.0725	114.445	40.79333333	3.89
Cdk5r2	142.4733333	126.8625	159.025	69.14	22.3525
Myh1	18.48	3.575	2.175	14.79666667	0.56
Cpne4	1.78	1.6775	3.425	0.743333333	0.1
Pls3	115.83	101.9775	119.925	53.77666667	4.495
Stk32b	10.8	7.925	7.615	32.22	32.36
Lama1	0.223333333	0.315	0.355	3.156666667	1.7925
Ttn	3.93	2.065	0.515	3.106666667	0.135
Mdk	29.02333333	30.1475	38.255	133.7833333	189.8125
Trpc4	1.506666667	1.275	2.51	0.58	0.6225
Nmral1	8.496666667	7.405	14.57	56.68	130.64
Ablim2	73.08	58.045	76.165	32.62	0.6
Arhgap44	45.31666667	37.49	49.63	22.40333333	6.85
Atp1a3	551.49	459.7675	552.02	243.2966667	102.145
Hrh3	9.883333333	8.775	14.435	4.23	1.3675
Hmgb1	334.4033333	373.495	391.505	773.2866667	1171.195
St8sia2	30.18666667	19.565	23.79	56.80333333	28.445
Mcm2	9.013333333	15.755	21.935	82.24	212.7
Prune2	352.7133333	261.1925	329.13	138.8433333	1.8925
Gm12191	295.5933333	430.64	223.22	481.4833333	707.365
C330027C09Rik	2.87	4.52	5.18	18.75666667	41.09
Cpne9	15.44	12.2025	18.945	4.983333333	0.245
Hist1h1a	34.24	100.98	159.835	773.4266667	1504.0425
Atat1	13.92666667	10.045	12.96	31.19	35.6125
Atrnl1	180.9833333	154.43	197.45	88.13333333	14.78
Gm9855	5.13	6.0575	3.555	11.79666667	71.79
Ankef1	1.3	0.795	0.585	2.606666667	4.9575
Pde3b	14.70666667	17.145	14.355	32.28333333	37.105
Hist1h1d	134.6566667	327.4575	293.485	1291.78	2015.68
Tnnc2	43.04333333	16.7875	3.475	32.14666667	0.425
Pgm2l1	118.06	93.3975	119.315	52.93666667	6.37
E2f7	0.87	1.3775	1.815	7.446666667	14.405
Shc3	83.62	65.2925	81.085	28.28333333	0.1925
Mcm7	12.94666667	22.9375	34.58	131.7033333	334.2175
B3gat1	39.83	29.46	27.54	77.58	27.1675
Arhgap19	4.916666667	5.055	6.685	17.34333333	40.36
Sox11	8.71	7.75	17.645	54.06666667	100.6225
Agpat9	1.133333333	1.6875	0.065	0.766666667	0.7875
Wdhd1	4.166666667	4.24	6.57	20.42333333	56.5775
Pcp4	52.87333333	51.0925	38	125.5633333	63.285
Cachd1	15.09	14.345	23.26	10.14333333	3.6225
Mapk6	31.13666667	34.5375	39.105	76.70666667	103.4275
Vwa7	17.44	12.52	18.435	6.496666667	0.3575
Fanca	0.836666667	1.365	1.66	6.566666667	11.3275
Cdc45	2.56	3.6075	5.455	23.22333333	66.255
Cbx3	119.8733333	126.2275	151.91	276.6833333	402.4775
Ftl1	623.96	805.4325	481.855	1319.093333	1119.4825
Unc5b	28.55666667	29.0225	37.405	14.67666667	4.3725
Zfp69	1.09	1.1125	0.465	2.033333333	1.5025
Homer2	1.256666667	1.1975	1.94	4.7	10.745
Smc2	6.796666667	10.525	13.055	43.79333333	89.75
Snord15b	11152.38	4410.63	10824.65	14022.03667	21276.065
Fam107a	7.293333333	4.3225	12.83	1.87	0.25
Crim1	9.686666667	15.1	11.86	31.96333333	15.2725
Nceh1	29.52333333	28.74	33.065	14.81666667	5.5275
Slit2	8.853333333	7.5775	15.53	47.45666667	65.1825
Actn2	2.976666667	1.1875	1.175	4.386666667	3.955
Triobp	37.20666667	48.4575	31.405	51.48333333	84.9875
Iqgap3	1.773333333	2.3875	4.59	16.74	28.0125
Gins2	6.333333333	7.58	5.66	21.34666667	60.5575
Ncaph	2.706666667	4.865	6.13	23.61666667	57.1825
Nme4	3.93	6.5475	2.48	10.56333333	21.5825
Cpt1b	23.42333333	32.2275	5.46	36.51	1.2925
SlcUbl4a	10.19	9.7475	15.68	4.78	12.085
Cenpf	4.883333333	7.91	17.125	70.17	143.39
Hs3st5	25.47	19.025	27.465	10.09333333	1.86
Kif22	3.983333333	6.5225	9.975	35.70666667	111.7825
Tmem44	5.743333333	5.78	6.815	15.88666667	17.6875
E2f2	7.76	9.1425	7.9	17.76666667	31.84
Ube2c	6.93	13.0875	34.595	155.14	368.875
Gm1821	1046.373333	750.4325	159.45	966.6033333	958.135
Mns1	7.213333333	6.1375	12.95	36.17666667	103.82
Rpl34-ps1	716.1833333	1108.1525	517.785	1116.216667	2043.715
Asxl3	4.723333333	4.35	6.015	14.66333333	11.06
Unc5d	0.806666667	0.7425	0.795	4.64	0.7825
Aurka	2.626666667	4.1125	6.25	22.18	62.6675
Mxd3	3.49	4.1025	4.88	19.99333333	58.35
Topbp1	14.33666667	18.5925	19.49	47.76666667	105.8175
Psmc3ip	4.803333333	7.17	8.77	30.46	88.045
Gck	0.993333333	1.0175	0.8	3.82	24.555
Kif4	1.393333333	3.705	6.62	30.39666667	50.0325
Rbmx	30.47	39.2025	47.46	99.54	126.4825
Smad7	13.1	15.7425	16.69	6.513333333	2.945
Eme1	0.29	1.215	2.075	9.98	26.73
4932418E24Rik	0.823333333	0.7025	0.24	1.616666667	12.55
Sytl4	7.176666667	6.205	59.78	211.54	231.7125
Rasgef1a	4.976666667	4.99	6.47	2	0.6275
Apex1	27.98666667	26.6375	25.985	59.34666667	163.8475
Rfc3	8.793333333	9.46	9.605	26.10333333	50.2025
Kcnq5	35.75	30.235	38.47	17.42333333	4.5425
Dner	156.9533333	138.82	197.17	76.22666667	4.1275
Foxj1	4.806666667	4.59	5.63	1.59	0.28
Tcerg1l	1.723333333	1.495	0.475	3.103333333	2.06
A330023F24Rik	4.183333333	4.6675	8.995	2.976666667	1.2725
Cbx2	5.23	5.305	5.85	13.93333333	20.6075
Rps26	1306.876667	1717.55	1321.96	2457.063333	3675.36
Hnrnph1	175.8266667	169.98	212.555	395.0966667	555.06
Rps13	272.52	352.535	225.6	425.42	714.6975
B3gnt2	62.51666667	77.4725	100.665	44.26666667	38.045
Gins1	6.793333333	7.18	8.905	37.92666667	63.2675
Aldh1l2	3.816666667	3.1725	4.215	11.21333333	14.1825
Abcb1a	45.7	42.4625	53.75	21.09666667	0.5225
Sgms2	15.97666667	13.19	18.165	7.3	1.34
Cenpa	2.633333333	8.425	10.315	43.26333333	121.335
Auts2	27.30666667	20.1125	22.155	42.88666667	48.095
Chaf1a	6.203333333	9.1225	12.045	34.76	111.425
Lmnb1	22.86333333	47.79	57.69	242.5833333	553.695
Agtr2	1.85	1.8725	22.06	84.55333333	323.17
Slc18a2	322.2833333	288.52	409.1	165.4266667	22.275
Rbfox3	3.793333333	1.975	1.11	5.843333333	2.7525
Rnf219	9.39	9.93	10.685	21.95	31.33
Tcf7l2	7.223333333	8.36	10.49	30.37	11.2925
Pcsk1n	723.6333333	619.5875	913.155	415.68	123.0725
Plxna2	7.01	8.4025	10.66	23.34666667	10.365
Fbl	49.11333333	67.205	55.035	124.3633333	306.835
2810417H13Rik	0.866666667	2.5125	8	44.09	77.35
Dynlt1c	13.34666667	11.41	0	12.46333333	14.9325
Hcrtr1	40.92	30.285	41.59	15.99333333	0.0075
Tcf4	34.36	35.3975	40.545	73.56666667	166.1825
Npcd	69.12666667	38.5175	1.635	46.08333333	16.2775
Mpzl1	29.73	29.8375	24.945	47.36666667	32.9275
C530008M17Rik	52.45666667	37.63	52.715	106.5366667	116.5875
Fam160a1	1.856666667	2.36	6.88	20.07333333	46.5575
Incenp	16.63666667	24.79	28.925	78.8	202.725
Ect2	1.753333333	2.625	5.065	20.97666667	44.8675
Hspb8	291.2466667	263.3025	320.555	146.0566667	12.54
Smad9	29.51333333	24.0675	33.175	14.22	7.0725
Dut	22.58666667	25.87	38.385	89.44	180.715
Spc25	3.33	7.2625	17.155	72.46666667	147.9
Lmnb2	13.80333333	12.435	16.895	34.63	75.19
Ufsp1	89.40333333	78.335	93.19	36.48	6.84
Shcbp1	0.983333333	1.78	3.145	17.88	34.0475
Hist1h2an	14.29333333	35.12	20.42	245.7	697.385
Pacsin1	115	102.895	111.04	49.42	11.6225
Grm4	7.96	7.175	12.825	3.676666667	0.9225
Zik1	8.766666667	6.6725	8.97	18.67	22.77
Hk2	7.493333333	9.2425	3.725	12.79333333	15.76
Ptger4	6.85	11.915	11.645	3.12	0.5875
Gpc2	13.77	9.765	15.035	43.75333333	36.1375
Sdc1	7.456666667	10.995	8.055	22.25666667	39.02
Napb	293.5	238.025	306.09	138.6433333	26.8825
Lcorl	4.613333333	4.835	4.465	9.706666667	11.6775
Trip13	0.913333333	1.995	3.835	13.44666667	36.89
Tmem47	40.3	37.2175	45.27	20.16333333	0.79
Mbtd1	9.07	9.6125	10.08	21.33666667	32.935
Mastl	2.273333333	2.31	2.555	6.2	10.12
Ccnf	4.383333333	6.69	6.31	17.9	49.13
Tpx2	4.036666667	8.5725	13.43	52.21	122.86
H2afv	25.54666667	30.9375	29.97	64.89	82.2975
Dpf1	6.733333333	5.0825	8.875	25.99333333	47.3725
Gpr158	50.94	41.3575	52.005	20.91	1.04
Astn2	37.12666667	29.76	41.73	17.28666667	4.1325
Bard1	1.286666667	2.2425	2.39	7.833333333	14.18
Efnb3	8.713333333	9.5375	13.465	29.72333333	31.0525
Drd2	65.21666667	63.66	80.435	30.42333333	1.97
Ramp1	78.03333333	91.13	106.72	40.27333333	0.4525
Snhg1	23.55	16.815	13.905	47.42333333	85.475
Tfdp1	35.57666667	40.0475	45.315	89.45666667	174.1
Ckap2l	2.08	3.86	6.275	25.50666667	57.945
Bmi1	15.88666667	18.41	22.63	49.64	81.945
AW549542	3.19	2.415	5.53	1.22	0.2125
Cpq	25.11	29.4125	32.395	13.02	3.3675
Dgkb	58.29333333	48.65	76.53	28.01	0.125
Syt6	1.263333333	0.465	0.6	2.9	5.8375
D030028A08Rik	4.556666667	3.1925	3.675	9.413333333	16.4025
Spry1	19.85666667	24.4925	28.275	12.51666667	8.1575
Peg10	13.80333333	11.8	16.21	95.97	2186.14
Bahcc1	9.82	9.85	13.13	24.19333333	48.525
Myl1	244.54	195.5575	249.815	94.69333333	0.4525
Gm10052	330.6	347.9025	444.005	910.08	1685.33
Usp1	15.17333333	21.48	19.18	45.23666667	91.2375
Slc27a3	6.136666667	5.235	6.29	17.89666667	14.9725
Slc9a7	26.55333333	23.51	33.945	13.69	4.38
Zfp113	5.366666667	5.015	5.16	10.18333333	12.3475
Dusp5	9.333333333	13.555	10.94	2.516666667	1.4675
Klhdc7a	3.67	3.595	0.59	6.703333333	0.76
Top2a	7.276666667	20.3525	30.075	131.9333333	296.875
Dnph1	5.67	5.15	4.33	13.09666667	36.39
Mcm4	8.23	14.6925	11.545	33.27333333	73.7325
1810032O08Rik	3.773333333	6.3825	3.555	11.80666667	14.5025
Dbf4	2.21	4.4425	5.09	20.62	42.1675
Cdr1	18.39	14.3975	25.12	6.986666667	0.47
Impdh1	81.40333333	77.8025	55.345	124.5166667	73.0025
Rasl10a	11.19	7.565	11.695	2.896666667	0.46
Msh6	15.46333333	17.4925	18.055	35.70666667	75.3725
Pold1	6.833333333	11.5275	10.54	34.94	82.835
Ttc28	17.41333333	19.9975	18.765	34.19	36.435
Rprl3	2450.636667	2150.155	247.955	1738.803333	3408.1075
Ercc6l	0.613333333	1.1725	1.135	6.203333333	16.8975
Fxn	10.39333333	11.7075	9.935	25.43333333	36.08
Hist1h2be	200.4033333	390.9775	299.375	779.29	1511.445
Thrsp	73.86	82.65	21.855	119.2533333	16.5975
Plin1	50.61333333	82.57	11.815	76.30666667	8.36
Gmnn	11.90666667	11.6225	15.34	38.77333333	90.5225
Arhgap11a	4.733333333	7.8225	11.925	41.56	124.7025
Zbed4	12.16333333	12.9525	14.28	28.46333333	45.89
Kif14	0.623333333	1.5475	1.705	6.483333333	22.1125
Tnfaip8l3	2.786666667	3.2225	4.625	0.923333333	0.8925
Arhgap36	37.72666667	20.635	20.705	52.2	41.395
Zfp57	9.47	9.5775	13.65	39.43333333	21.775
N4bp2	9.016666667	13.465	12.675	30.13666667	41.18
Asah2	10.99	12.275	11.545	4.94	1.045
Igfbp2	2.893333333	2.895	0.995	6.553333333	31.3825
Rpa3	8.896666667	12.3575	13.835	40.70333333	62.3825
Zfp786	4.15	3.08	3.35	8.943333333	6.8475
Slco5a1	1.97	2.5175	4.505	13.80333333	10.99
Rtkn2	0.52	0.785	1.855	6.606666667	16.11
Pvrl1	13.68	12.835	12.255	24.76333333	22.2175
Map7	56.17666667	51.2275	77.41	31.75666667	3.7025
Slc1a1	13.84666667	12.7325	18.55	8.11	6.3575
Zcchc18	247.7666667	224.6275	310.295	139.4033333	22.975
Abhd15	3.326666667	4.0125	2.91	7.793333333	9.3225
Syce2	1.803333333	3.9975	5.085	19.35333333	83.64
A530058N18Rik	7.73	5.2975	6.89	19.59666667	17.9625
